,price
906,2877
907,2878
908,2878
909,2878
911,2878
912,2879
913,2879
914,2879
915,2879
916,2879
917,2879
918,2879
919,2879
920,2879
921,2880
922,2880
926,2882
927,2882
928,2882
929,2882
930,2882
931,2883
933,2883
934,2884
935,2885
936,2885
937,2885
938,2885
940,2886
941,2886
942,2887
943,2887
944,2888
945,2889
946,2889
948,2889
949,2889
950,2889
951,2889
952,2889
953,2889
954,2889
955,2890
956,2890
959,2890
960,2891
961,2891
962,2891
963,2891
966,2892
967,2892
968,2893
969,2893
970,2893
972,2893
973,2893
974,2893
975,2893
976,2893
977,2894
979,2894
980,2895
981,2895
982,2895
984,2896
985,2896
986,2896
987,2896
988,2896
989,2896
990,2896
991,2896
992,2896
993,2897
994,2897
995,2897
996,2897
997,2897
998,2897
999,2898
1000,2898
1002,2898
1003,2898
1004,2898
1005,2898
1006,2898
1008,2898
1009,2899
1010,2900
1011,2900
1013,2901
1014,2901
1015,2901
1016,2902
1018,2902
1019,2902
1020,2902
1021,2903
1022,2903
1024,2903
1025,2903
1026,2904
1027,2904
1028,2904
1029,2904
1030,2905
1031,2905
1032,2905
1034,2905
1035,2905
1036,2905
1037,2905
1038,2905
1040,2906
1042,2907
1043,2907
1045,2907
1046,2907
1047,2907
1048,2907
1049,2907
1052,558
1053,558
1055,558
1056,558
1057,558
1058,558
1059,558
1061,558
1063,558
1064,558
1065,558
1066,558
1067,558
1068,558
1069,558
1070,558
1071,558
1073,558
1074,558
1076,558
1077,558
1078,558
1079,558
1080,2908
1081,2908
1082,2909
1084,2909
1085,2909
1087,2910
1088,2911
1089,2911
1090,2911
1091,2911
1092,2912
1093,2912
1094,2912
1095,2912
1097,2912
1098,2912
1099,2913
1101,2913
1102,2913
1103,2913
1104,2913
1105,2913
1106,2913
1107,2913
1108,2913
1109,2914
1110,2914
1111,2915
1112,2915
1113,2915
1114,2915
1116,2917
1117,2917
1118,2917
1119,2917
1120,2918
1122,2918
1123,2918
1124,2918
1125,2919
1126,2919
1127,2919
1128,2919
1129,2919
1130,2919
1131,2920
1132,2920
1133,2920
1134,2920
1136,2921
1138,2921
1140,2921
1141,2922
1142,2922
1143,2922
1144,2922
1147,2923
1148,2923
1149,2923
1150,2923
1151,2923
1152,2923
1153,2923
1154,2923
1155,2923
1156,2923
1158,2925
1159,2925
1160,2925
1161,2925
1162,2925
1163,2925
1164,2926
1165,2926
1166,2926
1167,2927
1168,2927
1169,2927
1170,2928
1171,2928
1172,2929
1173,2929
1174,2929
1177,2930
1178,2930
1179,2930
1180,2930
1181,2930
1182,2930
1184,2930
1185,2931
1186,2931
1187,2931
1188,2932
1189,2932
1190,2932
1191,2933
1192,2933
1193,2933
1194,2933
1195,2933
1196,2934
1197,2934
1200,2935
1202,2936
1203,2936
1204,2936
1205,2937
1206,2937
1208,2937
1209,2938
1210,2938
1211,2938
1212,2939
1213,2939
1214,2939
1215,2939
1216,2939
1217,2939
1218,2939
1219,2939
1220,2939
1221,2939
1222,2939
1224,2940
1225,2940
1226,2940
1227,2940
1228,2940
1231,2941
1232,2941
1233,2942
1235,2942
1236,2942
1237,2942
1238,2942
1240,2943
1241,2944
1242,2944
1245,2945
1247,2946
1249,2946
1250,2946
1251,2946
1253,2947
1254,2947
1255,2947
1256,2947
1257,2947
1259,2947
1260,2947
1261,2947
1262,2947
1263,2947
1264,2948
1265,2948
1266,2948
1267,2948
1268,2948
1270,2948
1271,2949
1272,2949
1273,2949
1274,2949
1275,2949
1276,2950
1277,2950
1278,2950
1279,2951
1281,2951
1282,2951
1283,2951
1285,2952
1286,2952
1287,2952
1288,2952
1289,2952
1290,2952
1291,2952
1292,2952
1293,2952
1294,2952
1295,2953
1298,2954
1299,2954
1300,2954
1301,2954
1302,2954
1303,2954
1304,2954
1305,2955
1307,2956
1308,2956
1309,2956
1310,2956
1311,2956
1312,2956
1313,2956
1314,2956
1316,2958
1317,2958
1319,2958
1320,2959
1322,2959
1323,2959
1324,2959
1325,2960
1327,2960
1328,2960
1329,2960
1330,2960
1331,2960
1332,2960
1334,2961
1335,2961
1336,2961
1337,2961
1338,2961
1339,2961
1341,2961
1342,2961
1343,2961
1344,2961
1345,2962
1346,2962
1347,2962
1348,2962
1349,2963
1350,2963
1351,2964
1352,2964
1353,2964
1354,2964
1355,2964
1356,2964
1357,2964
1358,2964
1359,2964
1360,2964
1361,2964
1363,2964
1364,2964
1365,2965
1366,2965
1367,2965
1368,2965
1369,2965
1370,2965
1371,2966
1372,2966
1373,2966
1374,2966
1375,2966
1376,2967
1377,2967
1378,2967
1379,2967
1380,558
1381,558
1382,558
1383,559
1384,559
1385,559
1386,559
1387,559
1388,559
1389,559
1390,559
1391,559
1392,559
1393,559
1394,559
1397,559
1398,559
1399,559
1400,559
1401,560
1402,560
1403,560
1404,560
1405,560
1406,560
1407,561
1408,561
1409,561
1410,2968
1411,2968
1412,2968
1413,2968
1414,2968
1415,2968
1416,2969
1417,2970
1418,2970
1419,2970
1420,2970
1421,2970
1422,2970
1423,2971
1425,2972
1426,2972
1427,2972
1428,2972
1429,2973
1430,2973
1431,2973
1432,2973
1433,2973
1435,2974
1436,2974
1438,2974
1439,2974
1441,2975
1442,2975
1443,2975
1444,2975
1445,2975
1446,2975
1447,2976
1448,2976
1450,2977
1451,2977
1452,2977
1453,2977
1454,2978
1455,2978
1456,2978
1457,2978
1458,2979
1459,2979
1460,2980
1462,2980
1465,2981
1466,2981
1467,2982
1470,2982
1471,2982
1472,2982
1473,2984
1474,2984
1475,2984
1476,2985
1477,2985
1479,2986
1480,2986
1481,2986
1482,2986
1483,2987
1484,2987
1485,2988
1486,2988
1487,2988
1488,2988
1489,2989
1490,2990
1491,2990
1492,2990
1493,2990
1494,2991
1495,2991
1496,2992
1497,2992
1498,2992
1499,2993
1500,2993
1501,2993
1502,2993
1503,2993
1504,2993
1505,2993
1506,2993
1507,2994
1508,2994
1509,2994
1510,2994
1511,2994
1512,2994
1513,2995
1514,2995
1515,2996
1516,2996
1517,2996
1518,2997
1519,2997
1520,2998
1521,2998
1522,2998
1523,2998
1524,2998
1526,2999
1527,2999
1528,2999
1529,2999
1531,2999
1532,2999
1533,2999
1534,3000
1535,3000
1536,3001
1537,3001
1538,3001
1539,3001
1540,3001
1541,3001
1542,3001
1543,3001
1544,3002
1545,3002
1546,3002
1547,3002
1548,3002
1549,3002
1550,3002
1551,3002
1553,3003
1554,3003
1555,3003
1556,3004
1558,3004
1559,3004
1560,3004
1561,3004
1562,3004
1563,3005
1564,3005
1565,3005
1566,3005
1567,3005
1568,3006
1569,3006
1570,3006
1571,3006
1572,3006
1573,3007
1574,3007
1575,3007
1576,3007
1578,3007
1579,3007
1580,3007
1581,3007
1582,3007
1583,3008
1584,3008
1585,3008
1586,3008
1587,3009
1588,3009
1589,3009
1590,3009
1591,3010
1592,3010
1593,3010
1594,3011
1595,3011
1597,3011
1598,3011
1600,3011
1601,3011
1603,3011
1604,3011
1605,3011
1606,3011
1607,3011
1608,3011
1609,3012
1610,3012
1612,3012
1613,3012
1614,3013
1615,3013
1616,3013
1617,3013
1618,3013
1619,3013
1620,3013
1621,3014
1622,3014
1623,3014
1624,3014
1625,3014
1626,3015
1627,3015
1628,3015
1630,3016
1631,3016
1632,3016
1633,3016
1634,3016
1635,3016
1636,3016
1637,3017
1638,3017
1639,3017
1640,3017
1641,3017
1642,3017
1643,3018
1644,3018
1645,3018
1646,3018
1647,3018
1648,3018
1649,3018
1650,3018
1652,3019
1654,3020
1655,3023
1657,3023
1658,3024
1659,3024
1660,3024
1661,3024
1662,3024
1663,3024
1664,3024
1666,3024
1668,3024
1669,3024
1670,3025
1671,3026
1672,3026
1673,3026
1674,3027
1675,3027
1676,3027
1677,3027
1679,3028
1680,3030
1681,3030
1682,3031
1683,3032
1684,3032
1685,3032
1686,3032
1687,3033
1688,3033
1689,3033
1690,3033
1691,3033
1692,3033
1693,3033
1694,3033
1695,3033
1696,3034
1697,3034
1698,3034
1699,3035
1700,3035
1701,3035
1702,3035
1703,3035
1704,3036
1705,3036
1707,3036
1708,3036
1709,3037
1710,561
1711,561
1712,561
1713,561
1714,561
1715,561
1716,561
1717,561
1718,561
1719,561
1721,561
1722,561
1723,561
1725,561
1727,561
1728,561
1729,561
1730,561
1731,561
1732,561
1733,561
1734,561
1735,561
1736,561
1737,561
1738,561
1739,561
1740,3037
1741,3038
1742,3038
1743,3038
1744,3039
1746,3040
1747,3040
1748,3041
1749,3041
1750,3041
1751,3042
1752,3042
1754,3043
1755,3043
1757,3044
1758,3045
1759,3045
1760,3045
1761,3045
1762,3045
1763,3045
1764,3045
1765,3046
1766,3046
1767,3047
1768,3047
1769,3047
1772,3048
1773,3048
1774,3048
1775,3048
1776,3048
1777,3048
1778,3048
1779,3048
1780,3048
1781,3049
1782,3049
1783,3049
1784,3050
1785,3050
1786,3050
1787,3050
1788,3050
1789,3050
1790,3051
1792,3052
1793,3052
1794,3052
1795,3052
1796,3053
1797,3053
1798,3053
1799,3053
1800,3053
1801,3053
1802,3053
1803,3053
1804,3053
1806,3053
1807,3054
1808,3054
1811,3054
1812,3055
1813,3056
1814,3056
1815,3056
1816,3056
1819,3057
1820,3057
1822,3057
1823,3058
1824,3058
1825,3058
1826,3059
1827,3059
1828,3059
1829,3060
1830,3060
1831,3061
1832,3061
1833,3061
1834,3061
1836,3061
1837,3062
1838,3062
1839,3062
1840,3062
1841,3062
1842,3062
1844,3063
1845,3063
1846,3063
1849,3064
1850,3064
1851,3064
1852,3065
1853,3065
1854,3065
1855,3066
1856,3066
1857,3066
1858,3066
1859,3066
1860,3066
1861,3066
1862,3067
1863,3067
1867,3070
1868,3070
1869,3070
1870,3071
1871,3071
1873,3073
1875,3073
1876,3073
1877,3073
1878,3073
1879,3073
1880,3073
1881,3074
1883,3074
1884,3074
1885,3075
1886,3075
1888,3075
1889,3075
1890,3075
1891,3075
1892,3075
1893,3077
1894,3077
1895,3077
1896,3077
1899,3078
1900,3078
1901,3079
1902,3079
1903,3079
1905,3080
1906,3080
1907,3080
1908,3080
1909,3080
1910,3080
1912,3081
1914,3081
1915,3081
1916,3082
1917,3082
1918,3082
1919,3082
1920,3082
1922,3082
1923,3082
1924,3082
1925,3082
1926,3082
1927,3083
1928,3083
1929,3083
1930,3084
1931,3084
1932,3084
1933,3084
1934,3084
1935,3084
1936,3084
1937,3084
1938,3084
1939,3084
1940,3084
1941,3084
1942,3084
1943,3084
1944,3084
1945,3084
1946,3084
1947,3084
1948,3084
1949,3085
1950,3086
1951,3086
1953,3087
1954,3087
1955,3087
1956,3087
1957,3087
1958,3088
1959,3088
1960,3089
1961,3089
1962,3089
1963,3089
1964,3089
1965,3089
1966,3089
1967,3089
1969,3090
1970,3090
1972,3091
1973,3091
1974,3091
1975,3091
1976,3091
1977,3092
1978,3092
1979,3092
1980,3093
1982,3093
1983,3093
1984,3095
1985,3095
1987,3095
1989,3096
1990,3096
1991,3096
1992,3096
1993,3097
1994,3097
1996,3097
1997,3098
1998,3099
1999,3099
2000,3099
2001,3101
2002,3101
2003,3101
2005,3102
2006,3102
2007,3102
2008,3102
2011,3103
2012,3103
2013,3104
2014,3104
2016,3104
2017,3104
2018,3105
2019,3105
2020,3105
2022,3105
2023,3105
2024,3105
2025,3105
2026,3105
2028,3105
2029,3105
2031,3105
2032,3105
2034,3105
2035,3107
2036,3107
2038,3107
2039,3107
2040,561
2041,561
2042,561
2043,561
2044,561
2045,561
2046,561
2047,561
2048,561
2049,561
2050,561
2051,561
2052,561
2053,561
2055,561
2056,561
2057,561
2059,561
2060,561
2061,561
2062,561
2063,561
2064,561
2065,561
2066,561
2067,561
2068,561
2069,561
2070,3107
2071,3107
2072,3107
2074,3107
2075,3108
2076,3108
2077,3108
2078,3109
2079,3109
2080,3109
2082,3111
2084,3111
2085,3112
2086,3112
2087,3112
2088,3112
2089,3112
2090,3112
2091,3113
2092,3113
2093,3113
2095,3114
2096,3114
2097,3114
2098,3114
2101,3115
2102,3115
2103,3115
2105,3116
2106,3116
2107,3116
2109,3118
2110,3118
2111,3118
2112,3118
2113,3118
2115,3119
2116,3119
2117,3119
2118,3119
2119,3119
2122,3121
2123,3121
2124,3121
2125,3121
2126,3121
2128,3122
2129,3122
2130,3122
2131,3122
2132,3123
2133,3123
2134,3123
2135,3123
2136,3123
2137,3123
2139,3124
2140,3125
2141,3125
2146,3126
2147,3126
2148,3126
2149,3127
2150,3127
2151,3127
2152,3127
2153,3127
2154,3127
2155,3128
2156,3129
2157,3129
2158,3129
2159,3129
2160,3130
2161,3130
2162,3130
2163,3130
2164,3131
2165,3131
2167,3133
2168,3133
2169,3133
2170,3134
2171,3135
2172,3135
2173,3135
2174,3135
2175,3135
2176,3136
2177,3136
2178,3136
2179,3136
2180,3136
2181,3136
2182,3136
2183,3136
2184,3136
2185,3136
2186,3137
2187,3137
2188,3137
2189,3137
2190,3137
2191,3138
2193,3139
2194,3139
2195,3139
2196,3139
2197,3139
2198,3139
2199,3139
2200,3140
2201,3140
2202,3140
2203,3140
2204,3141
2205,3141
2206,3141
2207,3142
2208,3142
2209,3142
2210,3142
2211,3142
2212,3142
2213,3143
2214,3143
2215,3144
2216,3144
2217,3145
2218,3145
2219,3145
2220,3145
2221,3145
2222,3145
2223,3145
2224,3145
2226,3145
2227,3145
2228,3145
2229,3145
2230,3145
2231,3145
2232,3145
2233,3145
2234,3146
2235,3146
2236,3146
2237,3146
2238,3146
2239,3146
2240,3146
2242,3146
2243,3148
2244,3148
2245,3148
2246,3148
2247,3149
2248,3149
2249,3149
2250,3149
2251,3150
2252,3150
2253,3150
2254,3150
2255,3151
2256,3152
2257,3152
2258,3153
2260,3153
2261,3153
2262,3153
2263,3154
2264,3154
2266,3154
2267,3154
2268,3154
2269,3154
2271,3154
2272,3154
2273,3154
2274,3156
2275,3157
2276,3158
2277,3158
2278,3158
2279,3159
2280,3159
2281,3160
2282,3160
2283,3160
2284,3160
2285,3160
2286,3160
2287,3160
2290,3160
2291,3160
2292,3160
2293,3161
2294,3161
2295,3161
2296,3161
2297,3162
2299,3162
2300,3162
2301,3162
2302,3163
2303,3163
2304,3163
2306,3164
2307,3164
2308,3164
2309,3165
2310,3165
2311,3166
2312,3166
2313,3166
2314,3167
2315,3167
2316,3167
2317,3167
2318,3167
2319,3167
2320,3167
2321,3167
2322,3167
2323,3167
2324,3168
2325,3168
2326,3169
2327,3169
2329,3170
2330,3170
2331,3170
2332,3170
2333,3170
2334,3170
2335,3170
2336,3170
2337,3170
2338,3170
2340,3171
2341,3171
2342,3171
2343,3171
2344,3171
2345,3171
2346,3172
2347,3172
2348,3172
2349,3172
2350,3172
2352,3172
2353,3173
2354,3173
2356,3173
2357,3174
2358,3175
2359,3175
2360,3175
2361,3175
2363,3175
2364,3175
2365,3175
2366,3175
2367,3176
2368,3176
2369,3176
2370,561
2371,561
2372,561
2373,561
2374,561
2375,561
2376,561
2377,561
2378,561
2379,561
2380,561
2381,561
2382,561
2383,561
2384,561
2385,561
2386,561
2387,561
2388,561
2389,561
2391,561
2392,561
2394,561
2395,561
2396,561
2400,3176
2401,3176
2402,3177
2403,3177
2404,3178
2405,3178
2406,3179
2407,3179
2408,3179
2409,3179
2410,3179
2411,3179
2412,3180
2413,3180
2414,3180
2415,3180
2416,3180
2417,3180
2418,3180
2419,3180
2420,3180
2421,3181
2422,3181
2423,3181
2424,3181
2425,3181
2426,3181
2427,3182
2429,3183
2430,3183
2431,3183
2433,3183
2434,3183
2435,3183
2436,3184
2437,3184
2438,3185
2439,3185
2440,3185
2441,3185
2442,3185
2443,3187
2444,3187
2445,3187
2446,3188
2447,3188
2448,3188
2450,3189
2452,3189
2453,3189
2454,3189
2455,3189
2456,3190
2457,3190
2458,3190
2459,3190
2461,3191
2462,3191
2463,3191
2464,3191
2465,3191
2467,3192
2468,3192
2469,3192
2471,3192
2473,3192
2474,3192
2475,3192
2476,3192
2477,3193
2478,3193
2479,3193
2480,3193
2483,3194
2484,3195
2485,3195
2486,3195
2487,3195
2488,3195
2489,3195
2491,3196
2492,3196
2493,3196
2494,3197
2495,3197
2496,3197
2497,3197
2498,3198
2499,3198
2500,3198
2501,3198
2502,3198
2503,3199
2504,3199
2505,3199
2506,3199
2507,3199
2508,3199
2509,3199
2510,3199
2511,3200
2512,3200
2513,3200
2514,3201
2515,3201
2516,3201
2517,3201
2518,3201
2519,3201
2520,3203
2521,3203
2522,3203
2523,3204
2526,3204
2527,3205
2528,3205
2529,3205
2530,3205
2533,3205
2534,3205
2535,3205
2536,3205
2537,3205
2538,3205
2539,3205
2540,3206
2541,3206
2542,3206
2543,3206
2544,3206
2545,3206
2546,3206
2547,3207
2549,3207
2550,3208
2551,3208
2552,3208
2553,3208
2555,3209
2556,3209
2557,3209
2559,3210
2560,3210
2561,3210
2562,3210
2563,3210
2564,3210
2566,3210
2567,3210
2568,3211
2569,3211
2571,3211
2572,3211
2573,3212
2574,3212
2575,3212
2576,3212
2577,3212
2578,3213
2579,3214
2580,3214
2581,3214
2582,3215
2583,3215
2586,3216
2587,3217
2588,3217
2589,3217
2590,3217
2591,3217
2593,3217
2594,3217
2595,3218
2596,3218
2597,3218
2598,3218
2599,3218
2600,3219
2601,3219
2602,3219
2603,3219
2604,3219
2605,3219
2606,3220
2608,3220
2609,3220
2610,3220
2611,3222
2612,3222
2613,3223
2614,3223
2615,3224
2616,3224
2618,3225
2619,3226
2620,3226
2621,3226
2622,3226
2623,3226
2624,3226
2625,3226
2626,3226
2627,3226
2628,3228
2629,3228
2630,3228
2631,3229
2633,3229
2634,3229
2635,3229
2636,3229
2637,3229
2638,3229
2639,3229
2640,3230
2642,3230
2643,3231
2644,3231
2645,3231
2647,3231
2648,3234
2649,3234
2650,3234
2651,3234
2652,3234
2653,3234
2654,3234
2655,3234
2656,3234
2657,3234
2658,3235
2659,3235
2660,3235
2661,3235
2662,3235
2664,3236
2665,3237
2666,3237
2667,3238
2668,3238
2669,3238
2670,3238
2671,3238
2672,3238
2673,3238
2674,3239
2675,3239
2676,3239
2677,3239
2679,3240
2680,3241
2682,3242
2683,3242
2684,3243
2685,3243
2686,3243
2687,3245
2688,3246
2689,3246
2690,3246
2691,3246
2692,3246
2693,3246
2694,3246
2695,3246
2696,3246
2697,3246
2698,3246
2699,3246
2700,562
2701,562
2702,562
2703,562
2705,562
2706,562
2707,562
2708,563
2709,563
2710,563
2711,563
2712,564
2713,564
2714,564
2715,564
2716,564
2717,564
2718,564
2719,564
2720,564
2721,564
2722,564
2723,564
2724,564
2725,565
2726,565
2727,565
2728,565
2729,565
2730,3246
2731,3246
2732,3246
2733,3247
2734,3247
2735,3247
2736,3247
2737,3247
2738,3247
2739,3248
2740,3248
2741,3248
2742,3248
2744,3248
2745,3248
2747,3249
2749,3249
2750,3249
2751,3250
2752,3250
2753,3250
2754,3250
2755,3250
2756,3250
2757,3250
2758,3250
2759,3250
2760,3250
2761,3251
2762,3251
2763,3251
2764,3251
2765,3251
2766,3251
2768,3251
2769,3252
2771,3253
2772,3253
2773,3253
2774,3253
2775,3253
2776,3253
2777,3254
2778,3254
2779,3254
2780,3254
2781,3255
2782,3255
2783,3255
2785,3256
2786,3256
2787,3257
2788,3257
2789,3257
2790,3258
2791,3258
2792,3258
2793,3259
2794,3259
2795,3260
2796,3260
2798,3261
2799,3261
2800,3261
2801,3261
2802,3262
2803,3262
2804,3262
2805,3263
2806,3263
2807,3264
2808,3264
2809,3264
2810,3265
2811,3265
2812,3265
2813,3265
2814,3265
2815,3265
2816,3265
2817,3265
2819,3265
2820,3265
2821,3266
2822,3266
2824,3266
2826,3267
2827,3267
2828,3267
2829,3267
2831,3267
2832,3267
2833,3267
2834,3267
2835,3267
2836,3268
2837,3268
2838,3269
2840,3270
2841,3270
2842,3270
2843,3270
2844,3270
2846,3270
2847,3270
2848,3271
2849,3271
2851,3272
2852,3273
2853,3273
2854,3273
2855,3273
2856,3274
2857,3274
2858,3274
2861,3275
2863,3275
2864,3275
2865,3275
2866,3275
2867,3276
2868,3276
2869,3276
2870,3276
2871,3276
